"Name","SDK","hostname","moref","Uuid","InstanceUuid","ChangeVersion","Modified","isTemplate","GuestID","MemoryHotAddEnabled","CPUHotAddEnabled","CPUHotRemoveEnabled","VMX","VMXFilepath","toolsversion","vcpu","corepersocket","memorymb","powerstate","connectionstate","boottime","consolidationneeded","vmfolder","resourcepool","resourcepoolparent","nicipaddress1","nic1","nicmac1","nicsportgroup1","scsisharing1","scsi1","scsisize1","harddisklocation1","harddisk1","harddisksize1","harddisklocation2","harddisk2","harddisksize2","harddisklocation3","harddisk3","harddisksize3","harddisklocation4","harddisk4","harddisksize4","harddisklocation5","harddisk5","harddisksize5","harddisklocation6","harddisk6","harddisksize6","harddisklocation7","harddisk7","harddisksize7","harddisklocation8","harddisk8","harddisksize8","harddisklocation9","harddisk9","harddisksize9","harddisklocation10","harddisk10","harddisksize10","harddisklocation11","harddisk11","harddisksize11"
"wiki01","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-443","removed","removed","2017-05-06T19:19:14.932991Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] wiki01.domain.local/wiki01.domain.local.vmx","0","1","1","1024","poweredOff","connected",,"False","Discovered","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] wiki01.domain.local/wiki01.domain.local_5.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] wiki01.domain.local/wiki01.domain.local_6.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] wiki01.domain.local/wiki01.domain.local_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"cert","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-445","removed","removed","2017-05-06T19:19:16.722136Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] cert/cert.vmx","0","1","1","1024","poweredOff","connected",,"False","infra","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] cert/cert_5.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] cert/cert_6.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] cert/cert_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"cert2","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-446","removed","removed","2017-05-06T19:19:16.722476Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] cert2/cert2.vmx","0","1","1","1024","poweredOff","connected",,"False","infra","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] cert2/cert2_5.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] cert2/cert2_6.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] cert2/cert2_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"git","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-447","removed","removed","2017-05-06T19:19:16.7226Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] git_1/git.vmx","0","1","1","1024","poweredOff","connected",,"False","app","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] git_1/git_5.vmdk,[ESX01_LOCAL_2TB_rep] git_1/git_5-000001.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] git_1/git_6.vmdk,[ESX01_LOCAL_2TB_rep] git_1/git_6-000001.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] git_1/git_7.vmdk,[ESX01_LOCAL_2TB_rep] git_1/git_7-000001.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"bugzilla","https://vcenter.domain.local/sdk","bugzilla.domain.local","VirtualMachine-vm-451","removed","removed","2017-05-06T19:19:16.72259Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] bugzilla/bugzilla.vmx","2147483647","1","1","1024","poweredOff","connected",,"False","toolchain","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] bugzilla/bugzilla_5.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] bugzilla/bugzilla_6.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] bugzilla/bugzilla_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"ansible","https://vcenter.domain.local/sdk","ansible.domain.local","VirtualMachine-vm-452","removed","removed","2017-05-06T19:19:16.722615Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] ansible/ansible.vmx","2147483647","1","1","1024","poweredOff","connected",,"False","toolchain","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] ansible/ansible_5.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] ansible/ansible_6.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] ansible/ansible_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"elk","https://vcenter.domain.local/sdk","elk.domain.local","VirtualMachine-vm-454","removed","removed","2017-05-06T19:19:27.349153Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] elk/elk.vmx","2147483647","1","1","1024","poweredOff","connected",,"False","toolchain","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] elk/elk_5.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] elk/elk_6.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] elk/elk_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"jenkins","https://vcenter.domain.local/sdk","jenkins.domain.local","VirtualMachine-vm-455","removed","removed","2017-06-16T06:46:12.072907Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] jenkins/jenkins.vmx","2147483647","1","1","1024","poweredOn","connected","6/16/2017 6:46:12 AM","False","app","Resources","cluster_apt","192.168.1.94,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed","Network adapter 1","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] jenkins/jenkins_5.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] jenkins/jenkins_6.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] jenkins/jenkins_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"artifactory","https://vcenter.domain.local/sdk","artifactory.domain.local","VirtualMachine-vm-456","removed","removed","2017-05-06T19:19:27.349062Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] artifactory/artifactory.vmx","2147483647","1","1","1024","poweredOff","connected",,"False","toolchain","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] artifactory/artifactory_5.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] artifactory/artifactory_6.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] artifactory/artifactory_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"nagios","https://vcenter.domain.local/sdk","nagios.domain.local","VirtualMachine-vm-458","removed","removed","2017-05-18T21:01:10.442716Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] nagios_2/nagios.vmx","2147483647","1","1","1024","poweredOn","connected","5/18/2017 9:01:10 PM","False","app","Resources","cluster_apt","192.168.1.45,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed","Network adapter 1","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] nagios_2/nagios_5.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_5-000003.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_5-000002.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_5-000004.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_5-000005.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_5-000006.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] nagios_2/nagios_6.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_6-000003.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_6-000002.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_6-000004.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_6-000005.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_6-000006.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] nagios_2/nagios_7.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_7-000003.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_7-000002.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_7-000004.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_7-000005.vmdk,[ESX01_LOCAL_2TB_rep] nagios_2/nagios_7-000006.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"go_","https://vcenter.domain.local/sdk","go.domain.local","VirtualMachine-vm-465","removed","removed","2017-06-16T05:35:44.232824Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[vhost3local1tb] go/go.vmx","2147483647","1","1","1024","poweredOn","connected","6/16/2017 5:35:44 AM","False","app","Resources","cluster_apt","192.168.1.92,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed","Network adapter 1","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 0","LSI Logic","[vhost3local1tb] go/go_5.vmdk","Hard disk 1","16,777,216 KB","[vhost3local1tb] go/go_6.vmdk","Hard disk 2","2,097,152 KB","[vhost3local1tb] go/go_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"git_","https://vcenter.domain.local/sdk","git.domain.local","VirtualMachine-vm-467","removed","removed","2017-06-16T06:28:30.999264Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] git_/git_.vmx","2147483647","2","1","2048","poweredOn","connected","6/16/2017 6:28:30 AM","False","app","Resources","cluster_apt","192.168.1.16,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removedb:a22,ipv6_removed","Network adapter 1","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] git_/git__5.vmdk,[ESX01_LOCAL_2TB_rep] git_/git__5-000001.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] git_/git__6.vmdk,[ESX01_LOCAL_2TB_rep] git_/git__6-000001.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] git_/git__7.vmdk,[ESX01_LOCAL_2TB_rep] git_/git__7-000001.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"mail_old","https://vcenter.domain.local/sdk","mail.domain.local","VirtualMachine-vm-470","removed","removed","2017-05-06T19:19:22.38171Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[vhost3local1tb] mail/mail.vmx","2147483647","1","1","512","poweredOff","connected",,"False","infra","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[vhost3local1tb] mail/mail_5.vmdk","Hard disk 1","16,777,216 KB","[vhost3local1tb] mail/mail_6.vmdk","Hard disk 2","2,097,152 KB","[vhost3local1tb] mail/mail_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"dns","https://vcenter.domain.local/sdk","dns.domain.local","VirtualMachine-vm-471","removed","removed","2017-05-06T20:42:13.849634Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[vhost3local1tb] dns/dns.vmx","2147483647","1","1","512","poweredOn","connected","5/6/2017 8:42:13 PM","False","app","Resources","cluster_apt","192.168.1.21,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed","Network adapter 1","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 0","LSI Logic","[vhost3local1tb] dns/dns_5.vmdk","Hard disk 1","16,777,216 KB","[vhost3local1tb] dns/dns_6.vmdk","Hard disk 2","2,097,152 KB","[vhost3local1tb] dns/dns_7.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"mail","https://vcenter.domain.local/sdk","mail.domain.local","VirtualMachine-vm-473","removed","removed","2017-05-06T19:19:22.834076Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[vhost3local1tb] mail.domain.local/mail.domain.local.vmx","2147483647","1","1","1024","poweredOff","connected",,"False","infra","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[vhost3local1tb] mail.domain.local/mail.domain.local_5.vmdk,[vhost3local1tb] mail.domain.local/mail.domain.local_5-000001.vmdk,[vhost3local1tb] mail.domain.local/mail.domain.local_5-000002.vmdk","Hard disk 1","16,777,216 KB","[vhost3local1tb] mail.domain.local/mail.domain.local_6.vmdk,[vhost3local1tb] mail.domain.local/mail.domain.local_6-000001.vmdk,[vhost3local1tb] mail.domain.local/mail.domain.local_6-000002.vmdk","Hard disk 2","2,097,152 KB","[vhost3local1tb] mail.domain.local/mail.domain.local_7.vmdk,[vhost3local1tb] mail.domain.local/mail.domain.local_7-000001.vmdk,[vhost3local1tb] mail.domain.local/mail.domain.local_7-000002.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"docker","https://vcenter.domain.local/sdk","docker.domain.local","VirtualMachine-vm-476","removed","removed","2017-05-06T19:19:22.376288Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] docker/docker.vmx","2147483647","2","1","8192","poweredOff","connected",,"False","Discovered","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] docker/docker_5.vmdk,[ESX01_LOCAL_2TB_rep] docker/docker_5-000001.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] docker/docker_6.vmdk,[ESX01_LOCAL_2TB_rep] docker/docker_6-000001.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] docker/docker_7.vmdk,[ESX01_LOCAL_2TB_rep] docker/docker_7-000001.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"template_win2016","https://vcenter.domain.local/sdk","WIN-JK8N26T8CBD","VirtualMachine-vm-479","removed","removed","2017-04-30T03:34:05.658669Z","1/1/1970 12:00:00 AM","True","windows9Server64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] template_win2016/template_win2016.vmtx","0","1","1","4096","poweredOff","connected","4/30/2017 3:34:05 AM","False","templates",,,"null","Network adapter 1","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 0","LSI Logic SAS","[ESX01_LOCAL_2TB_rep] template_win2016/template_win2016.vmdk,[ESX01_LOCAL_2TB_rep] template_win2016/template_win2016-000002.vmdk","Hard disk 1","41,943,040 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dc01_","https://vcenter.domain.local/sdk","dc01","VirtualMachine-vm-481","removed","removed","2017-06-10T17:12:01.640491Z","1/1/1970 12:00:00 AM","False","windows9Server64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] dc01/dc01.vmx","10246","1","1","4096","poweredOff","connected",,"False","Discovered","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic SAS","[ESX01_LOCAL_2TB_rep] dc01/dc01.vmdk,[ESX01_LOCAL_2TB_rep] dc01/dc01-000001.vmdk","Hard disk 1","41,943,040 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"micro_base","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-501","removed","removed","2017-05-13T07:53:39.896036Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] micro_base/micro_base.vmx","2147483647","1","1","1024","poweredOff","connected",,"False","Discovered","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] micro_base/micro_base_7.vmdk,[ESX01_LOCAL_2TB_rep] micro_base/micro_base_7-000001.vmdk","Hard disk 1","5,242,880 KB","[ESX01_LOCAL_2TB_rep] micro_base/micro_base_6.vmdk,[ESX01_LOCAL_2TB_rep] micro_base/micro_base_6-000001.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] micro_base/micro_base_5.vmdk,[ESX01_LOCAL_2TB_rep] micro_base/micro_base_5-000001.vmdk","Hard disk 3","16,777,216 KB",,,,,,,,,,,,,,,,,,,,,,,,
"EMC Monitoring and Reporting","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-503","removed","removed","2017-05-21T01:09:09.408378Z","1/1/1970 12:00:00 AM","False","sles11_64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] EMC Monitoring and Reporting/EMC Monitoring and Reporting.vmx","9354","4","1","32768","poweredOff","connected","5/20/2017 10:23:00 PM","False","Discovered","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] EMC Monitoring and Reporting/EMC Monitoring and Reporting.vmdk","Hard disk 1","138,412,032 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vipr1","https://vcenter.domain.local/sdk","vipr1","VirtualMachine-vm-505","removed","removed","2017-05-21T01:08:19.213557Z","1/1/1970 12:00:00 AM","False","otherLinux64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] vipr1/vipr1.vmx","2147483647","2","1","8192","poweredOff","connected","5/20/2017 10:22:48 PM","False",,,,,,,,"noSharing","SCSI controller 0","VMware paravirtual SCSI","[ESX01_LOCAL_2TB_rep] vipr1/vipr1.vmdk","Hard disk 1","4,194,304 KB","[ESX01_LOCAL_2TB_rep] vipr1/vipr1_1.vmdk","Hard disk 2","16,777,216 KB","[ESX01_LOCAL_2TB_rep] vipr1/vipr1_2.vmdk","Hard disk 3","104,857,600 KB",,,,,,,,,,,,,,,,,,,,,,,,
"template_openwrt-15.05.1","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-506","removed","removed","2017-05-21T00:17:36.644186Z","1/1/1970 12:00:00 AM","True","otherLinuxGuest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] openwrt_1/openwrt.vmtx","0","1","1","256","poweredOff","connected",,"False","templates",,,,,,,,,,"[ESX01_LOCAL_2TB_rep] openwrt/openwrt.vmdk,[ESX01_LOCAL_2TB_rep] openwrt/openwrt.vmdk,[ESX01_LOCAL_2TB_rep] openwrt/openwrt-000001.vmdk","Hard disk 1","53,760 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"openwrt1","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-509","removed","removed","2017-05-21T00:18:19.652207Z","1/1/1970 12:00:00 AM","False","otherLinuxGuest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] openwrt1/openwrt1.vmx","0","1","1","256","poweredOn","connected","5/21/2017 12:18:19 AM","False","app","Resources","cluster_apt",,,,,,,,"[ESX01_LOCAL_2TB_rep] openwrt1/openwrt1.vmdk,[ESX01_LOCAL_2TB_rep] openwrt1/openwrt1-000001.vmdk","Hard disk 1","53,760 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
